id,old_wp_url,new_local_url,local_file,original_filename,final_filename,source_http_status,source_content_type,source_size,source_sha256,source_width,source_height,local_size,local_sha256,local_width,local_height,source_reference_count,contexts,migration_status,verification_status
1,https://alumcasting.com/wp-content/uploads/2026/03/post-processing-secondary-operations-thread-inserting-assembly.webp,/alumcasting/images/post-processing-secondary-operations-thread-inserting-assembly.webp,static/images/post-processing-secondary-operations-thread-inserting-assembly.webp,post-processing-secondary-operations-thread-inserting-assembly.webp,post-processing-secondary-operations-thread-inserting-assembly.webp,200,image/webp,45450,a728307924477b6c94e4796ff2ea2660f424097d1a62304a06da1a6fa2be9b62,734,898,45450,a728307924477b6c94e4796ff2ea2660f424097d1a62304a06da1a6fa2be9b62,734,898,1,CONTENT_BODY,MIGRATED,VERIFIED
2,https://alumcasting.com/wp-content/uploads/2026/06/A356-aluminum-die-casting-porosity-control.webp,/alumcasting/images/A356-aluminum-die-casting-porosity-control.webp,static/images/A356-aluminum-die-casting-porosity-control.webp,A356-aluminum-die-casting-porosity-control.webp,A356-aluminum-die-casting-porosity-control.webp,200,image/webp,19688,4ee88e987b8a146ae4795a60cc1203455f79de6399dad4051d12a635f3586658,1200,675,19688,4ee88e987b8a146ae4795a60cc1203455f79de6399dad4051d12a635f3586658,1200,675,8,ARTICLE_JSONLD|CONTENT_BODY,MIGRATED,VERIFIED
3,https://alumcasting.com/wp-content/uploads/2026/05/High-Precision-CNC-Wokshop.webp,/alumcasting/images/High-Precision-CNC-Wokshop.webp,static/images/High-Precision-CNC-Wokshop.webp,High-Precision-CNC-Wokshop.webp,High-Precision-CNC-Wokshop.webp,200,image/webp,43242,709996d309fc908e1087c2c95d5ecb77d2299cfb30a443af0d91fc378b941d7c,800,600,43242,709996d309fc908e1087c2c95d5ecb77d2299cfb30a443af0d91fc378b941d7c,800,600,16,CONTENT_BODY,MIGRATED,VERIFIED
4,https://alumcasting.com/wp-content/uploads/2026/05/Leakaging-Testing-Equipment.webp,/alumcasting/images/Leakaging-Testing-Equipment.webp,static/images/Leakaging-Testing-Equipment.webp,Leakaging-Testing-Equipment.webp,Leakaging-Testing-Equipment.webp,200,image/webp,34910,3c54452aee04302892e01cfa4933da4260f4c3e9df8372b444b79763fa0f51a8,800,600,34910,3c54452aee04302892e01cfa4933da4260f4c3e9df8372b444b79763fa0f51a8,800,600,15,CONTENT_BODY,MIGRATED,VERIFIED
5,https://alumcasting.com/wp-content/uploads/2026/05/X-Ray-Detector.webp,/alumcasting/images/X-Ray-Detector.webp,static/images/X-Ray-Detector.webp,X-Ray-Detector.webp,X-Ray-Detector.webp,200,image/webp,29068,8836dba3d63f2238224f94827d349d9453fa354a4a245ba200c3a8daf9375c79,800,500,29068,8836dba3d63f2238224f94827d349d9453fa354a4a245ba200c3a8daf9375c79,800,500,19,CONTENT_BODY,MIGRATED,VERIFIED
6,https://alumcasting.com/wp-content/uploads/2026/05/CMM-Inspection-Equipment.webp,/alumcasting/images/CMM-Inspection-Equipment.webp,static/images/CMM-Inspection-Equipment.webp,CMM-Inspection-Equipment.webp,CMM-Inspection-Equipment.webp,200,image/webp,21238,3e86d34dd90c1c1d15bce1033397897f1f575e9cbf36c6efc8fc012a64b86582,800,500,21238,3e86d34dd90c1c1d15bce1033397897f1f575e9cbf36c6efc8fc012a64b86582,800,500,20,CONTENT_BODY,MIGRATED,VERIFIED
7,https://alumcasting.com/wp-content/uploads/2026/05/TF1949-ISO9001-Certification.webp,/alumcasting/images/TF1949-ISO9001-Certification.webp,static/images/TF1949-ISO9001-Certification.webp,TF1949-ISO9001-Certification.webp,TF1949-ISO9001-Certification.webp,200,image/webp,25708,cd42312eb9b04653142d1b27feef914dd7486c884eda04abd47e18505a1a549c,800,500,25708,cd42312eb9b04653142d1b27feef914dd7486c884eda04abd47e18505a1a549c,800,500,18,CONTENT_BODY,MIGRATED,VERIFIED
8,https://alumcasting.com/wp-content/uploads/2026/05/SureTech-650-Surface-treatment.webp,/alumcasting/images/SureTech-650-Surface-treatment.webp,static/images/SureTech-650-Surface-treatment.webp,SureTech-650-Surface-treatment.webp,SureTech-650-Surface-treatment.webp,200,image/webp,67908,b2729b3436f15d4afc3de503e664c1aa36c7a6d41e7d0e21dd9de1703dbbe31d,800,600,67908,b2729b3436f15d4afc3de503e664c1aa36c7a6d41e7d0e21dd9de1703dbbe31d,800,600,14,CONTENT_BODY,MIGRATED,VERIFIED
9,https://alumcasting.com/wp-content/uploads/2026/03/semi-solid-casting-ssm-zero-porosity-structural-parts.webp,/alumcasting/images/semi-solid-casting-ssm-zero-porosity-structural-parts.webp,static/images/semi-solid-casting-ssm-zero-porosity-structural-parts.webp,semi-solid-casting-ssm-zero-porosity-structural-parts.webp,semi-solid-casting-ssm-zero-porosity-structural-parts.webp,200,image/webp,44104,56266f5ff6a604c7fe7e83e390d06941871180d8a573593ad7ecab6679ec872b,734,898,44104,56266f5ff6a604c7fe7e83e390d06941871180d8a573593ad7ecab6679ec872b,734,898,4,ARTICLE_JSONLD|CONTENT_BODY,MIGRATED,VERIFIED
10,https://alumcasting.com/wp-content/uploads/2022/10/5000t-aluminum-die-casting-machine-large-structural-parts.webp,/alumcasting/images/5000t-aluminum-die-casting-machine-large-structural-parts.webp,static/images/5000t-aluminum-die-casting-machine-large-structural-parts.webp,5000t-aluminum-die-casting-machine-large-structural-parts.webp,5000t-aluminum-die-casting-machine-large-structural-parts.webp,200,image/webp,77526,bcd9da344c68c69bb2f10cc3aac241e4d5ff4c6d458571d04f7793568a77ed70,1920,1080,77526,bcd9da344c68c69bb2f10cc3aac241e4d5ff4c6d458571d04f7793568a77ed70,1920,1080,19,CONTENT_BODY,MIGRATED,VERIFIED
11,https://alumcasting.com/wp-content/uploads/2026/06/semi-solid-casting-microstructure-vs-xray-porosity-test.webp,/alumcasting/images/semi-solid-casting-microstructure-vs-xray-porosity-test.webp,static/images/semi-solid-casting-microstructure-vs-xray-porosity-test.webp,semi-solid-casting-microstructure-vs-xray-porosity-test.webp,semi-solid-casting-microstructure-vs-xray-porosity-test.webp,200,image/webp,53356,427f5da29643c28c85446b94db525e941b6ad5fef9f537d7ef6477bcf2bbc43f,900,490,53356,427f5da29643c28c85446b94db525e941b6ad5fef9f537d7ef6477bcf2bbc43f,900,490,5,CONTENT_BODY,MIGRATED,VERIFIED
12,https://alumcasting.com/wp-content/uploads/2026/06/magnesium-die-casting-automotive-parts.webp,/alumcasting/images/magnesium-die-casting-automotive-parts.webp,static/images/magnesium-die-casting-automotive-parts.webp,magnesium-die-casting-automotive-parts.webp,magnesium-die-casting-automotive-parts.webp,200,image/webp,33284,f373984c69076176cd57d92b3adb1066ed35618ec14f47e8a8c30f27d7165923,900,490,33284,f373984c69076176cd57d92b3adb1066ed35618ec14f47e8a8c30f27d7165923,900,490,2,CONTENT_BODY,MIGRATED,VERIFIED
13,https://alumcasting.com/wp-content/uploads/2026/03/vertically-integrated-manufacturing-process-casting-to-finishing.webp,/alumcasting/images/vertically-integrated-manufacturing-process-casting-to-finishing.webp,static/images/vertically-integrated-manufacturing-process-casting-to-finishing.webp,vertically-integrated-manufacturing-process-casting-to-finishing.webp,vertically-integrated-manufacturing-process-casting-to-finishing.webp,200,image/webp,117970,f52e557d70eda4f455f443bc127b2d0b645087fc1ff07c237a5ea9abc6482c2a,800,800,117970,f52e557d70eda4f455f443bc127b2d0b645087fc1ff07c237a5ea9abc6482c2a,800,800,7,ARTICLE_JSONLD|CONTENT_BODY,MIGRATED,VERIFIED
14,https://alumcasting.com/wp-content/uploads/2026/03/custom-die-casting-mold-design-tooling-fabrication.webp,/alumcasting/images/custom-die-casting-mold-design-tooling-fabrication.webp,static/images/custom-die-casting-mold-design-tooling-fabrication.webp,custom-die-casting-mold-design-tooling-fabrication.webp,custom-die-casting-mold-design-tooling-fabrication.webp,200,image/webp,67246,e13d3e6c673d6f5bca49569928887813693cadb67d03740905e475f492b81aa0,734,898,67246,e13d3e6c673d6f5bca49569928887813693cadb67d03740905e475f492b81aa0,734,898,3,CONTENT_BODY,MIGRATED,VERIFIED
15,https://alumcasting.com/wp-content/uploads/2022/10/400-units-5-axis-4-axis-cnc-machining-workshop.webp,/alumcasting/images/400-units-5-axis-4-axis-cnc-machining-workshop.webp,static/images/400-units-5-axis-4-axis-cnc-machining-workshop.webp,400-units-5-axis-4-axis-cnc-machining-workshop.webp,400-units-5-axis-4-axis-cnc-machining-workshop.webp,200,image/webp,31468,a95317f04f1b8869934be8993ec67bfd6da1d8846f22c0cd926c7aa67e22b489,734,898,31468,a95317f04f1b8869934be8993ec67bfd6da1d8846f22c0cd926c7aa67e22b489,734,898,2,CONTENT_BODY,MIGRATED,VERIFIED
